DAY 1---WORKSPACE SETUP
Paretic,30%max (SL1)
Paretic,0%max (SL0)
Paretic,practice ball-in-bowl
Nonparetic,30%max (SL1)
Nonparetic,0%max (SL0)
Nonparetic,practice ball-in-bowl
DAY 1---BALL-IN-BOWL
Arm,Supportlevel,Frequency,trial
Nonparetic,0.0,3.0,1
Nonparetic,0.0,3.0,2
Nonparetic,0.0,3.0,3
Nonparetic,0.0,3.0,4
Nonparetic,0.0,3.0,5
Nonparetic,0.0,1.0,6
Nonparetic,0.0,1.0,7
Nonparetic,0.0,1.0,8
Nonparetic,0.0,1.0,9
Nonparetic,0.0,1.0,10
Nonparetic,1.0,3.0,11
Nonparetic,1.0,3.0,12
Nonparetic,1.0,3.0,13
Nonparetic,1.0,3.0,14
Nonparetic,1.0,3.0,15
Nonparetic,0.0,0.0,16
Nonparetic,0.0,0.0,17
Nonparetic,0.0,0.0,18
Nonparetic,0.0,0.0,19
Nonparetic,0.0,0.0,20
Mandatory 5min break
Nonparetic,1.0,1.0,21
Nonparetic,1.0,1.0,22
Nonparetic,1.0,1.0,23
Nonparetic,1.0,1.0,24
Nonparetic,1.0,1.0,25
Nonparetic,0.0,2.0,26
Nonparetic,0.0,2.0,27
Nonparetic,0.0,2.0,28
Nonparetic,0.0,2.0,29
Nonparetic,0.0,2.0,30
Nonparetic,1.0,2.0,31
Nonparetic,1.0,2.0,32
Nonparetic,1.0,2.0,33
Nonparetic,1.0,2.0,34
Nonparetic,1.0,2.0,35
Nonparetic,1.0,0.0,36
Nonparetic,1.0,0.0,37
Nonparetic,1.0,0.0,38
Nonparetic,1.0,0.0,39
Nonparetic,1.0,0.0,40
Mandatory 5min break + switch arms
Paretic,0.0,0.0,41
Paretic,0.0,0.0,42
Paretic,0.0,0.0,43
Paretic,0.0,0.0,44
Paretic,0.0,0.0,45
Paretic,1.0,3.0,46
Paretic,1.0,3.0,47
Paretic,1.0,3.0,48
Paretic,1.0,3.0,49
Paretic,1.0,3.0,50
Paretic,1.0,0.0,51
Paretic,1.0,0.0,52
Paretic,1.0,0.0,53
Paretic,1.0,0.0,54
Paretic,1.0,0.0,55
Paretic,0.0,2.0,56
Paretic,0.0,2.0,57
Paretic,0.0,2.0,58
Paretic,0.0,2.0,59
Paretic,0.0,2.0,60
Mandatory 5min break
Paretic,1.0,2.0,61
Paretic,1.0,2.0,62
Paretic,1.0,2.0,63
Paretic,1.0,2.0,64
Paretic,1.0,2.0,65
Paretic,0.0,1.0,66
Paretic,0.0,1.0,67
Paretic,0.0,1.0,68
Paretic,0.0,1.0,69
Paretic,0.0,1.0,70
Paretic,1.0,1.0,71
Paretic,1.0,1.0,72
Paretic,1.0,1.0,73
Paretic,1.0,1.0,74
Paretic,1.0,1.0,75
Paretic,0.0,3.0,76
Paretic,0.0,3.0,77
Paretic,0.0,3.0,78
Paretic,0.0,3.0,79
Paretic,0.0,3.0,80


DAY 2
Nonparetic,practice ball-in-bowl
Paretic,practice ball-in-bowl
DAY 2---BALL-IN-BOWL
Arm,Supportlevel,Frequency,trial
Paretic,0.0,2.0,81
Paretic,0.0,2.0,82
Paretic,0.0,2.0,83
Paretic,0.0,2.0,84
Paretic,0.0,2.0,85
Paretic,0.0,1.0,86
Paretic,0.0,1.0,87
Paretic,0.0,1.0,88
Paretic,0.0,1.0,89
Paretic,0.0,1.0,90
Paretic,1.0,3.0,91
Paretic,1.0,3.0,92
Paretic,1.0,3.0,93
Paretic,1.0,3.0,94
Paretic,1.0,3.0,95
Paretic,1.0,1.0,96
Paretic,1.0,1.0,97
Paretic,1.0,1.0,98
Paretic,1.0,1.0,99
Paretic,1.0,1.0,100
Mandatory 5min break
Paretic,1.0,0.0,101
Paretic,1.0,0.0,102
Paretic,1.0,0.0,103
Paretic,1.0,0.0,104
Paretic,1.0,0.0,105
Paretic,0.0,3.0,106
Paretic,0.0,3.0,107
Paretic,0.0,3.0,108
Paretic,0.0,3.0,109
Paretic,0.0,3.0,110
Paretic,0.0,0.0,111
Paretic,0.0,0.0,112
Paretic,0.0,0.0,113
Paretic,0.0,0.0,114
Paretic,0.0,0.0,115
Paretic,1.0,2.0,116
Paretic,1.0,2.0,117
Paretic,1.0,2.0,118
Paretic,1.0,2.0,119
Paretic,1.0,2.0,120
Mandatory 5min break + switch arms
Nonparetic,0.0,3.0,121
Nonparetic,0.0,3.0,122
Nonparetic,0.0,3.0,123
Nonparetic,0.0,3.0,124
Nonparetic,0.0,3.0,125
Nonparetic,0.0,1.0,126
Nonparetic,0.0,1.0,127
Nonparetic,0.0,1.0,128
Nonparetic,0.0,1.0,129
Nonparetic,0.0,1.0,130
Nonparetic,1.0,1.0,131
Nonparetic,1.0,1.0,132
Nonparetic,1.0,1.0,133
Nonparetic,1.0,1.0,134
Nonparetic,1.0,1.0,135
Nonparetic,1.0,0.0,136
Nonparetic,1.0,0.0,137
Nonparetic,1.0,0.0,138
Nonparetic,1.0,0.0,139
Nonparetic,1.0,0.0,140
Mandatory 5min break
Nonparetic,0.0,2.0,141
Nonparetic,0.0,2.0,142
Nonparetic,0.0,2.0,143
Nonparetic,0.0,2.0,144
Nonparetic,0.0,2.0,145
Nonparetic,1.0,2.0,146
Nonparetic,1.0,2.0,147
Nonparetic,1.0,2.0,148
Nonparetic,1.0,2.0,149
Nonparetic,1.0,2.0,150
Nonparetic,0.0,0.0,151
Nonparetic,0.0,0.0,152
Nonparetic,0.0,0.0,153
Nonparetic,0.0,0.0,154
Nonparetic,0.0,0.0,155
Nonparetic,1.0,3.0,156
Nonparetic,1.0,3.0,157
Nonparetic,1.0,3.0,158
Nonparetic,1.0,3.0,159
Nonparetic,1.0,3.0,160
Mandatory 5min break

NAIL-AND-HAMMER
Arm,SupportLevel
Nonparetic,training
Paretic,training
Paretic,0,1
Paretic,0,2
Paretic,0,3
Paretic,0,4
Paretic,0,5
Paretic,1,6
Paretic,1,7
Paretic,1,8
Paretic,1,9
Paretic,1,10
Mandatory 5min break + switch arms
Nonparetic,0,11
Nonparetic,0,12
Nonparetic,0,13
Nonparetic,0,14
Nonparetic,0,15
Nonparetic,1,16
Nonparetic,1,17
Nonparetic,1,18
Nonparetic,1,19
Nonparetic,1,20
